tanggal,pm10,so2,co,o3,no2,min_kelembaban,max_kelembaban,rerata_kelembaban,min_suhu,max_suhu,rerata_suhu,curah_hujan,kecepatan_angin,penyinaran_matahari
1/31/2017,40.32258065,30.93548387,31.41935484,51.06451613,11.93548387,51,94,77,24,34.4,28.2,214.1,4,
2/28/2017,46.25,31,39.60714286,59.92857143,13.5,57,97,82,23.4,32.4,27.2,520.8,4,
3/31/2017,58.74193548,37.38709677,42.67741935,78.25806452,17.58064516,56,93,78,24,34.4,28.1,138.7,4,
4/30/2017,58.43333333,36.66666667,38.2,91.73333333,16.96666667,54,92,77,24.8,34.2,28.5,156.5,4,
5/31/2017,73.90322581,43.48387097,36.19354839,97.61290323,17.16129032,48,91,75,25,35,29,135,4,
6/30/2017,65.13333333,46,38.73333333,77.7,13.8,49,95,56,24,35.2,28.7,138.5,4,
7/31/2017,67.74193548,47.93548387,36.83870968,101.9354839,16,43,91,53,24,34.6,28.5,119.9,4,
8/31/2017,71.64516129,50.93548387,35.06451613,102.8387097,12.48387097,35,87,68,24,34.4,28.7,0.8,4,
9/30/2017,72.86666667,51.66666667,30.66666667,101.9,15.46666667,47,92,71,24,35,28.8,165.8,4,
10/31/2017,62.61290323,51.90322581,38.64516129,101.5806452,18.32258065,50,90,74,23,34.2,28.9,112.4,4,
11/30/2017,52.63333333,53.3,35.06666667,89.83333333,16.26666667,47,95,78,24.2,34.4,28.2,195.3,4,
12/31/2017,38.41935484,45.09677419,29.74193548,51.19354839,12.03225806,41,92,76,24,34.8,28.2,254.1,5,
1/31/2018,35.67741935,46.12903226,21.06451613,57.77419355,12.19354839,52,95,76,23,33.8,27.7,215.1,1.3,38
2/28/2018,47.75,30.75,43.5,68.78571429,14.39285714,54,95,82,23.4,32.4,27.2,431.2,1,49
3/31/2018,58.22580645,29.35483871,31.48387097,109.6774194,17.22580645,46,93,79,23.8,34.2,27.9,188.6,0.9,63
4/30/2018,62.5,29.33333333,25.36666667,101.1,17.8,45,95,78,24,34.4,28.7,159.1,0.8,62
5/31/2018,76.48387097,26.19354839,22.74193548,129.4193548,16.19354839,49,92,73,25,34.6,29.4,16.7,0.8,62
6/30/2018,66.66666667,26.83333333,19.4,133,13.96666667,46,92,74,24,35,28.9,12.6,0.8,55
7/31/2018,80.35483871,30.22580645,21.16129032,158.8387097,18.83870968,36,89,69,24,34.2,28.2,14.5,0.8,65
8/31/2018,72.22580645,31.5483871,17.77419355,157.9032258,15.90322581,47,92,69,23,34.2,28.2,33,0.8,64
9/30/2018,68.33333333,34.96666667,21.33333333,149.8,15.36666667,35,89,67,24.2,35.4,28.6,62,0.8,79
10/31/2018,60.51533665,35.59422755,25.95007788,87.51127481,19.23309794,37,90,70,24,35.2,29.3,133.8,0.8,76
11/30/2018,61.96666667,26.8,25.93333333,120.2666667,17.8,46,92,74,24.4,36.6,28.9,140.9,0.8,44
12/31/2018,51.58064516,25.93548387,20.4516129,95.29032258,15.19354839,49,92,74,24.4,35.4,28.7,52.3,1,45
1/31/2019,51.90322581,23.29032258,24.74193548,92.4516129,14.67741935,67.3,89.3,80,23,34,27.9,382.2,1.6,43.2
2/28/2019,60.51533665,35.59422755,25.95007788,87.51127481,19.23309794,74,85.8,80.2,24,34,28.2,270.1,1.4,60.8
3/31/2019,54.51612903,23.74193548,26.74193548,107.0322581,16.80645161,72.8,87.8,78.4,23.8,34.8,28.1,327.3,1.6,50.7
4/30/2019,61.83333333,22.06666667,32.5,119.6,16.1,68.8,86,78.4,24.8,35.2,28.9,194.6,1.4,55.5
5/31/2019,60.75,20.75,28.83333333,90.16666667,14.66666667,65.5,81.3,73.8,25,35,29.6,47.8,1.4,65.9
6/30/2019,69.4,25.13333333,21.33333333,102.8333333,15.03333333,64.8,79.3,71.9,24.4,34.4,29.1,23.1,1.3,62.8
7/31/2019,72.93333333,27.13333333,21.66666667,97.4,15.96666667,58.8,76.5,68.5,24,34,28.7,,1.3,69.6
8/31/2019,74.12903226,28.09677419,22.51612903,121.3225806,16.09677419,59.5,76.5,68.6,24,33.6,28.3,,1.3,67.3
9/30/2019,72.13333333,30.4,21.6,125.5,14,57,77.8,68.7,24,35,28.8,0,1.3,82
10/31/2019,75.51612903,33,20.35483871,143.9677419,15.61290323,59.3,75.3,69,24.6,35,29.5,1,1.4,86.1
11/30/2019,68.8,34.13333333,23.36666667,132.7666667,15.73333333,62.5,77,71,25,34.6,29.5,50.1,1.4,71.3
12/31/2019,63.19354839,35.77419355,27.96774194,104.8387097,12.83870968,69.8,92.3,79.1,24.8,33.8,28.5,263.8,1.4,53.1
1/31/2020,56.21875,34.5625,31.875,69.71875,11.84375,57,95,82,24.4,34.4,27.8,692,1.7,43
2/29/2020,54.86666667,25.5,34.6,88.63333333,13.73333333,50,91,83,24,34.6,24,1043.2,1.5,43
3/31/2020,43.26315789,18.63157895,37.68421053,81.94736842,6.210526316,55,95,78,24.4,34.8,28.5,220.7,1.8,9
4/30/2020,63.93548387,26.48387097,21.61290323,95,9.806451613,54,92,78,25,34.8,28.8,182.8,1.6,57
5/31/2020,58.28125,24.9375,18.71875,80.21875,10.28125,52,92,75,24.8,35.6,29.4,50.4,1.4,47
6/30/2020,67.77419355,24.12903226,20.41935484,79.12903226,13.06451613,48,92,74,24.4,35,29.4,21.1,1.4,56
7/31/2020,67.625,25.40625,17.625,91.53125,13.3125,44,93,71,24.2,34.2,28.5,87.3,1.5,57
8/31/2020,73.9375,27.71875,18.34375,82,13.53125,35,93,70,24,34.8,28.8,101,1.7,67
9/30/2020,54.4516129,19.90322581,13,99,6.387096774,40,93,70,24,35,29,151.9,1.7,77
10/31/2020,47.78125,14.40625,89.09375,9.34375,88.84375,50,92,73,27.6,34.6,28.7,208.3,1.7,66
11/30/2020,59,24,24,111,8,44,92,75,25,35.2,28.9,87.3,1.6,58
12/31/2020,26,29.41666667,6.416666667,35.08333333,3.541666667,44,93,74,24.2,34.8,28,134.7,2.3,40
1/31/2021,51,70.19354839,24.70967742,42.74193548,74,51,81.8,100,23.4,27.3,34.2,332.8,3.1,15.7
2/28/2021,46.17857143,40.67857143,14.14285714,45.53571429,24,51,83,98,23.8,27.4,34,604.4,3.8,30.4
3/31/2021,60.09677419,44.19354839,16.16129032,50.16129032,28.32258065,54,78.3,97,23,28.3,33.8,244.1,3.2,38
4/30/2021,61.7,49.96666667,15.9,52.1,31.63333333,51,76.1,100,24.4,28.7,34.2,213.9,2.9,41.1
5/31/2021,62.16129032,53.22580645,14.58064516,60.83870968,27.83870968,53,76,98,23.4,29.4,34.8,203.6,2.6,40
6/30/2021,68.86666667,54.43333333,18.66666667,55.33333333,39.36666667,55,79,97,24.2,28.5,34.2,79.1,2.5,30.6
7/31/2021,76.41935484,53.77419355,13.38709677,54,28.93548387,42,72.8,95,24,28.8,34,35.8,2.4,38.4
8/31/2021,64.70967742,52.16129032,11.93548387,44.51612903,28.87096774,43,72.1,98,24.6,29,34.4,79.7,3.1,40.9
9/30/2021,60.96666667,52.36666667,11.56666667,45.46666667,28.66666667,43,72.7,97,23.6,29.2,35,113.4,2.7,52.3
10/31/2021,60.51533665,35.59422755,25.95007788,87.51127481,19.23309794,50,73.5,95,24.6,29.2,34.2,182.1,2.6,44.9
11/30/2021,48.46666667,47.3,12.83333333,45.4,27.36666667,45,76.3,100,24,28.5,34.6,134.1,3.1,26.1
12/31/2021,60.09677419,47.58064516,17.19354839,44.12903226,34.80645161,47,79.6,98,24,28.2,35.2,171.6,2.5,25.6
