tanggal,kelembaban,,
January 2017,77.52,,
February 2017,82.07,,
March 2017,78.42,,
April 2017,77.6,,
May 2017,75.9,,
June 2017,76.87,,
July 2017,73.94,,
August 2017,69.39,,
Sepetember 2017,72.2,,
October 2017,74.61,,
November 2017,78.17,,
December 2017,76.52,,
January 2018,76.48,,
February 2018,82.57,,
March 2018,79.74,,
April 2018,78.57,,
May 2018,73.52,,
June 2018,75.17,,
July 2018,70.84,,
August 2018,70.1,,
September 2018,68.37,,
October 2018,71.39,,
November 2018,75.53,,
December 2018,74.81,,
January 2019,79.97,,
February 2019,80.21,,
March 2019,78.55,,
April 2019,78.43,,
May 2019,73.77,,
June 2019,71.9,,
July 2019,68.48,,
August 2019,68.61,,
September 2019,68.67,,
October 2019,68.9,,
November 2019,71,,
December 2019,79.1,,
January 2020,83.06,,
February 2020,84.07,,
March 2020,79.84,,
April 2020,79.03,,
May 2020,76.19,,
June 2020,74.34,,
July 2020,72.65,,
August 2020,71.71,,
September 2020,68,,
October 2020,74.23,,
November 2020,76.13,,
December 2020,76.1,,
January 2021,82.26,,
February 2021,82.86,,
March 2021,79.19,,
April 2021,76.77,,
May 2021,76.35,,
June 2021,79.7,,
July 2021,73.65,,
August 2021,73.13,,
September 2021,73,,
October 2021,73.9,,
November 2021,76.13,,
December 2021,79.65,,
January 2022,80.45,,
Februai 2022,80.96,,
March 2022,79.06,,
April 2022,78.63,,
May 2022,79.74,,
June 2002,78.8,,
July 2022,75.55,,
August 2022,73.4,,
September 2022,74.77,,
October 2022,76.83,,
November 2022,77,,
December 2022,78.94,,
January 2023,76.35,,
February 2023,82.07,,
March 2023,80.77,,
April 2023,75.66,,
May 2023,76.23,,
June 2023,76.6,,
July 2023,71.87,,
August 2023,72.13,,
September 2023,67.37,,
October 2023,69.67,,
